DistCode,District,College Code,College Name,OC,BCM,BC,MBC,SCA,SC,ST
8,KANCHEEPURAM,1026,UNIVERSITY COLLEGE OF ENGINEERING  KANCHIPURAM,,,,,,,
8,KANCHEEPURAM,4,UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY  CHENNAI - MIT CAMPUS,,,,,,,
8,KANCHEEPURAM,1422,VALLIAMMAI ENGINEERING COLLEGE,,,,,,,
8,KANCHEEPURAM,1333,VI INSTITUTE OF TECHNOLOGY,,,,,,,
9,KANNIYAKUMARI,4999,ANNAI VAILANKANNI COLLEGE OF ENGINEERING,,,,,,,
9,KANNIYAKUMARI,4944,ARUNACHALA COLLEGE OF ENGINEERING FOR WOMEN,,,,,,,
9,KANNIYAKUMARI,4992,BETHLAHEM INSTITUTE OF ENGINEERING,,,,,,,
9,KANNIYAKUMARI,4952,C.S.I. INSTITUTE OF TECHNOLOGY,,,,,,,
9,KANNIYAKUMARI,4946,DMI ENGINEERING COLLEGE,,,,,,,
9,KANNIYAKUMARI,4932,IMMANUEL ARASAR J J COLLEGE OF ENGINEERING,,,,,,,
9,KANNIYAKUMARI,4987,JAMES COLLEGE OF ENGINEERING AND TECHNOLOGY,,,,,,,
9,KANNIYAKUMARI,4956,JAYAMATHA ENGINEERING COLLEGE,,,,,,,
9,KANNIYAKUMARI,4985,K N S K COLLEGE OF ENGINEERING,,,,,,,
9,KANNIYAKUMARI,4983,LORD JEGANNATH COLLEGE OF ENGINEERING AND TECHNOLOGY,,,,,,,
9,KANNIYAKUMARI,4677,LOURDES MOUNT COLLEGE OF ENGINEERING AND TECHNOLOGY,,,,,,,
9,KANNIYAKUMARI,4993,LOYOLA INSTITUTE OF TECHNOLOGY AND SCIENCE,,,,,,,
9,KANNIYAKUMARI,4929,M.E.T ENGINEERING COLLEGE,,,,,,,
9,KANNIYAKUMARI,4928,MAR EPHRAEM COLLEGE OF ENGINEERING AND TECHNOLOGY,,,,,,,
9,KANNIYAKUMARI,4927,MARIA COLLEGE OF ENGINEERING AND TECHNOLOGY,,,,,,,
9,KANNIYAKUMARI,4984,MARTHANDAM COLLEGE OF ENGINEERING AND TECHNOLOGY,,,,,,,
9,KANNIYAKUMARI,4977,NARAYANAGURU COLLEGE OF ENGINEERING,,,,,,,
9,KANNIYAKUMARI,4685,NARAYANAGURU SIDDHARTHA COLLEGE OF ENGINEERING,,,,,,,
9,KANNIYAKUMARI,4981,PONJESLY COLLEGE OF ENGINEERING,,,,,,,
9,KANNIYAKUMARI,4948,RAJAS INTERNATIONAL INSTITUTE OF TECHNOLOGY FOR WOMEN,,,,,,,
9,KANNIYAKUMARI,4670,ROHINI COLLEGE OF ENGINEERING AND TECHNOLOGY,,,,,,,
9,KANNIYAKUMARI,4943,SATYAM COLLEGE OF ENGINEERING AND TECHNOLOGY,,,,,,,
9,KANNIYAKUMARI,4938,SIVAJI COLLEGE OF ENGINEERING AND TECHNOLOGY,,,,,,,
9,KANNIYAKUMARI,4672,STELLA MARY'S COLLEGE OF ENGINEERING,,,,,,,
9,KANNIYAKUMARI,4972,SUN COLLEGE OF ENGINEERING AND TECHNOLOGY,,,,,,,
9,KANNIYAKUMARI,4971,St.XAVIER'S CATHOLIC COLLEGE OF ENGINEERING,,,,,,,
9,KANNIYAKUMARI,4950,TAMIZHAN COLLEGE OF ENGINEERING AND TECHNOLOGY,,,,,,,
9,KANNIYAKUMARI,4978,UDAYA SCHOOL OF ENGINEERING,,,,,,,
9,KANNIYAKUMARI,4023,UNIVERSITY COLLEGE OF ENGINEERING  NAGERCOIL,,,,,,,
9,KANNIYAKUMARI,4982,VINS CHRISTIAN COLLEGE OF ENGINEERING,,,,,,,
9,KANNIYAKUMARI,4945,VINS CHRISTIAN WOMEN'S COLLEGE OF ENGINEERING,,,,,,,
10,KARUR,2356,ARULMURUGAN COLLEGE OF ENGINEERING,,,,,,,
10,KARUR,2355,CHERAN COLLEGE OF ENGINEERING,,,,,,,
10,KARUR,2630,CHETTINAD COLLEGE OF ENGINEERING AND TECHNOLOGY,,,,,,,
10,KARUR,2649,KARUR COLLEGE OF ENGINEERING,,,,,,,
10,KARUR,2608,M.KUMARASAMY COLLEGE OF ENGINEERING (AUTONOMOUS),,,,,,,
10,KARUR,2327,N.S.N. COLLEGE OF ENGINEERING AND TECHNOLOGY,,,,,,,
10,KARUR,2655,V K S COLLEGE OF ENGINEERING AND TECHNOLOGY,,,,,,,
10,KARUR,2622,V.S.B. ENGINEERING COLLEGE,,,,,,,
11,KRISHNAGIRI,2601,ADHIYAMAAN COLLEGE OF ENGINEERING (AUTONOMOUS),,,,,,,
