DistCode,District,College Code,College Name,Branch,OC,BCM,BC,MBC,SCA,SC,ST
2,CHENNAI,1,UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY  CHENNAI - CEG CAMPUS,COMPUTER SCIENCE AND ENGG.(SS),198.75,197.75,198.25,197.75,191.0,193.75,186.5
2,CHENNAI,1,UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY  CHENNAI - CEG CAMPUS,ELECTRONICS AND COMMUNICATION ENGG.,199.5,199.0,199.25,198.75,195.5,197.25,194.0
2,CHENNAI,1,UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY  CHENNAI - CEG CAMPUS,PRINTING TECHNOLOGY,195.25,191.0,194.75,193.75,174.0,186.25,166.75
2,CHENNAI,1,UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY  CHENNAI - CEG CAMPUS,MATERIALS SCIENCE AND ENGG.(SS),196.25,194.25,196.0,194.25,180.5,188.5,0.0
2,CHENNAI,1,UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY  CHENNAI - CEG CAMPUS,ELECTRICAL AND ELECTRONICS ENGG.,199.25,198.5,198.75,198.5,195.75,197.0,192.25
2,CHENNAI,1,UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY  CHENNAI - CEG CAMPUS,BIO MEDICAL ENGG(SS),198.0,197.0,197.25,196.0,189.5,194.5,188.0
2,CHENNAI,1,UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY  CHENNAI - CEG CAMPUS,CIVIL ENGINEERING,198.75,197.5,198.25,198.0,193.75,196.25,192.75
2,CHENNAI,1,UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY  CHENNAI - CEG CAMPUS,AGRICULTURAL AND IRRIGATION ENGG.(SS),196.5,194.5,196.0,195.0,189.0,189.75,186.25
2,CHENNAI,1,UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY  CHENNAI - CEG CAMPUS,COMPUTER SCIENCE AND ENGG.,199.5,198.75,199.25,198.5,194.25,196.25,193.5
2,CHENNAI,1,UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY  CHENNAI - CEG CAMPUS,ELECTRONICS AND COMMUNICATION ENGG. (SS),198.75,197.75,198.5,197.75,193.5,195.5,189.75
2,CHENNAI,1,UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY  CHENNAI - CEG CAMPUS,GEO-INFORMATICS,197.0,194.25,196.5,195.5,183.5,190.75,0.0
2,CHENNAI,1,UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY  CHENNAI - CEG CAMPUS,INFORMATION TECHNOLOGY(SS),198.0,196.5,197.75,196.5,189.5,192.25,183.25
2,CHENNAI,1,UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY  CHENNAI - CEG CAMPUS,CIVIL ENGINEERING - TAMIL MEDIUM,191.25,190.0,187.75,188.75,171.75,180.75,165.75
2,CHENNAI,1,UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY  CHENNAI - CEG CAMPUS,INDUSTRIAL ENGINEERING,196.75,195.25,196.5,195.25,182.0,189.75,0.0
2,CHENNAI,1,UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY  CHENNAI - CEG CAMPUS,MINING ENGINEERING,197.25,195.0,196.5,195.75,179.0,192.25,0.0
2,CHENNAI,1,UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY  CHENNAI - CEG CAMPUS,MECHANICAL ENGINEERING - TAMIL MEDIUM,192.25,189.5,189.75,189.25,175.5,180.5,186.0
